,0,1,2,3,4,5,6,7,8,9
sand,0.9983630776405334,0.0,0.0,0.0,0.0,0.0,0.8896174430847168,0.9461495876312256,0.9929095506668091,0.9475358128547668
beach,0.9983614683151245,0.0,0.0,0.0,0.0,0.0,0.9938789010047913,0.9950118660926819,0.9963037967681885,0.993923008441925
sea,0.990517258644104,0.0,0.0,0.0,0.0,0.0,0.9966012239456177,0.9835221767425537,0.996640682220459,0.9889822006225586
summer,0.9903140068054199,0.9617379903793335,0.9491750597953796,0.0,0.8949340581893921,0.0,0.9187657833099365,0.0,0.9902195334434509,0.0
sun,0.9886112213134766,0.9328286647796631,0.0,0.0,0.0,0.0,0.9478698372840881,0.9461861848831177,0.9522034525871277,0.0
water,0.9872448444366455,0.0,0.0,0.0,0.0,0.0,0.9915436506271362,0.989227294921875,0.9921081066131592,0.9864010214805603
woman,0.9853448867797852,0.801491916179657,0.9718557596206665,0.9888712167739868,0.9772243499755859,0.0,0.0,0.9737066030502319,0.0,0.0
travel,0.9789559841156006,0.0,0.0,0.0,0.0,0.0,0.927788496017456,0.9357057213783264,0.981831431388855,0.8859115839004517
fair weather,0.9780007600784302,0.9273874759674072,0.0,0.0,0.0,0.0,0.8941560387611389,0.9009039998054504,0.9454810619354248,0.0
sunset,0.9766818881034851,0.0,0.0,0.0,0.8798595666885376,0.0,0.970729410648346,0.990285336971283,0.0,0.0
ocean,0.9718700647354126,0.0,0.0,0.0,0.0,0.0,0.9930576086044312,0.9645893573760986,0.9944427013397217,0.9794721603393555
relaxation,0.9662903547286987,0.839255154132843,0.0,0.0,0.0,0.0,0.0,0.0,0.9192756414413452,0.0
leisure,0.9653645753860474,0.0,0.0,0.9032770991325378,0.0,0.0,0.0,0.0,0.9774084091186523,0.9513590931892395
nature,0.9650126695632935,0.9924043416976929,0.9691340923309326,0.8825990557670593,0.8945851922035217,0.0,0.954379677772522,0.0,0.9646656513214111,0.0
girl,0.9649562835693359,0.8722187280654907,0.9681652784347534,0.9902842044830322,0.986126184463501,0.0,0.9170446395874023,0.9877458810806274,0.9126039743423462,0.9285606145858765
outdoors,0.9614648818969727,0.8856867551803589,0.9624773263931274,0.9645633697509766,0.9492891430854797,0.8756052255630493,0.8929392695426941,0.0,0.0,0.0
sky,0.9572309255599976,0.0,0.0,0.0,0.0,0.0,0.9491784572601318,0.9208576679229736,0.9322060346603394,0.0
wind,0.9499104022979736,0.0,0.0,0.0,0.0,0.0,0.8859161734580994,0.0,0.0,0.0
seashore,0.9417732954025269,0.0,0.0,0.0,0.0,0.0,0.9782383441925049,0.9503517746925354,0.9906066656112671,0.9683453440666199
vacation,0.9416695833206177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893963932991028,0.0
park,0.0,0.9785789251327515,0.9121898412704468,0.9397614002227783,0.8813878297805786,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.9560339450836182,0.9905290603637695,0.8821858167648315,0.9862971305847168,0.9914600849151611,0.0,0.0,0.0,0.0
tree,0.0,0.9427242875099182,0.9205402135848999,0.0,0.8277446031570435,0.8808229565620422,0.0,0.0,0.0,0.0
fall,0.0,0.9319279193878174,0.0,0.9838658571243286,0.0,0.0,0.0,0.0,0.0,0.0
beautiful,0.0,0.9287431240081787,0.9447447061538696,0.0,0.0,0.0,0.9106686115264893,0.0,0.0,0.0
grass,0.0,0.9049246311187744,0.8832323551177979,0.8789681792259216,0.0,0.0,0.0,0.0,0.0,0.0
fashion,0.0,0.8584888577461243,0.9348114132881165,0.9284247159957886,0.0,0.0,0.0,0.0,0.0,0.0
season,0.0,0.8522094488143921,0.0,0.0,0.0,0.79659503698349,0.0,0.0,0.0,0.0
bright,0.0,0.8176108598709106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leaf,0.0,0.8167992830276489,0.0,0.8641993999481201,0.0,0.0,0.0,0.0,0.0,0.0
fun,0.0,0.8098655939102173,0.0,0.8773603439331055,0.0,0.0,0.0,0.0,0.9260752201080322,0.9558374881744385
color,0.0,0.7773513793945312,0.0,0.0,0.0,0.81743323802948,0.0,0.0,0.0,0.0
portrait,0.0,0.0,0.9612579941749573,0.9766332507133484,0.9864687323570251,0.8981236815452576,0.0,0.9175236225128174,0.0,0.0
garden,0.0,0.0,0.9563900232315063,0.8617600202560425,0.8161804676055908,0.942939043045044,0.0,0.0,0.0,0.0
young,0.0,0.0,0.9331449270248413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.9324618577957153,0.9913852214813232,0.9935223460197449,0.9529262781143188,0.0,0.9656974673271179,0.0,0.0
dress,0.0,0.0,0.9145742654800415,0.0,0.8870497941970825,0.0,0.0,0.0,0.0,0.0
one,0.0,0.0,0.9078253507614136,0.9850419759750366,0.9676861763000488,0.8701126575469971,0.0,0.9255563020706177,0.0,0.8748389482498169
model,0.0,0.0,0.8912128210067749,0.9141470789909363,0.0,0.0,0.0,0.945033609867096,0.0,0.0
sexy,0.0,0.0,0.8731034994125366,0.0,0.0,0.0,0.0,0.9028638601303101,0.0,0.0
adult,0.0,0.0,0.8722092509269714,0.9799619913101196,0.9692637324333191,0.8667628765106201,0.0,0.0,0.0,0.0
wear,0.0,0.0,0.0,0.940155029296875,0.8149741888046265,0.0,0.0,0.0,0.0,0.0
happiness,0.0,0.0,0.0,0.863358736038208,0.0,0.0,0.0,0.0,0.0,0.0
child,0.0,0.0,0.0,0.0,0.8954506516456604,0.0,0.0,0.0,0.0,0.0
landscape,0.0,0.0,0.0,0.0,0.8918725252151489,0.0,0.9421724677085876,0.9381811618804932,0.0,0.0
man,0.0,0.0,0.0,0.0,0.8714579343795776,0.0,0.0,0.0,0.0,0.0
love,0.0,0.0,0.0,0.0,0.8052103519439697,0.0,0.0,0.0,0.0,0.0
rose,0.0,0.0,0.0,0.0,0.0,0.9550179243087769,0.0,0.0,0.0,0.0
celebration,0.0,0.0,0.0,0.0,0.0,0.906530499458313,0.0,0.0,0.0,0.0
bouquet,0.0,0.0,0.0,0.0,0.0,0.9000837802886963,0.0,0.0,0.0,0.0
flora,0.0,0.0,0.0,0.0,0.0,0.8949575424194336,0.0,0.0,0.0,0.0
petal,0.0,0.0,0.0,0.0,0.0,0.8838785886764526,0.0,0.0,0.0,0.0
blooming,0.0,0.0,0.0,0.0,0.0,0.8755993843078613,0.0,0.0,0.0,0.0
floral,0.0,0.0,0.0,0.0,0.0,0.8657364249229431,0.0,0.0,0.0,0.0
festival,0.0,0.0,0.0,0.0,0.0,0.8625529408454895,0.0,0.0,0.0,0.0
flower arrangement,0.0,0.0,0.0,0.0,0.0,0.8499259948730469,0.0,0.0,0.0,0.0
decoration,0.0,0.0,0.0,0.0,0.0,0.8159514665603638,0.0,0.0,0.0,0.0
wave,0.0,0.0,0.0,0.0,0.0,0.0,0.9277591705322266,0.0,0.0,0.0
seascape,0.0,0.0,0.0,0.0,0.0,0.0,0.9179859161376953,0.0,0.0,0.0
nude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354212284088135,0.0,0.0
freedom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9428070783615112,0.8976664543151855
